patent_id,founding_year,founding_score,VC_backed_assignee,VC_score,initassignee_id,initassignee_organization,same_as20220630pv,assignee_organization_20220630pv,assignee_id_20220630pv,initassignee_idxwalk20220630pv,Found in OC,company_number,gvkey,CUSIP,first_year_publicly_listed,UO_DISCERN,SUB_DISCERN,univ_hospital_gov,is_US_assignee,cpc_sections,grant_year,patent_abstract,topK_topics,topK_scores,super_topics,main_super_topic,top5_similarities,sim1,sim2,sim3,sim4,sim5,sim_mean,sim_variance,sim_std,sim_min,sim_max,topK_1,topK_2,topK_3,topK_4,topK_5,topK_mean,topK_variance,topK_std
8143339,,,0.0,,OR0001601,UNIVERSITY OF MASSACHUSETTS,1,UNIVERSITY OF MASSACHUSETTS,7945db06-c8d3-4cae-8224-e5c245d96584,7945db06-c8d3-4cae-8224-e5c245d96584,0.0,,,,,0.0,0.0,1.0,1.0,C,2012.0,Nanocomposite compositions containing a graft polymer and a filler such as nano-sized silica having flame resistant properties are described.,"[518, 75, 180, 417, 395]","[0.6109392046928406, 0.595371663570404, 0.5939249396324158, 0.5210190415382385, 0.4975259304046631]","[159, 150, 58, 58, 58]",159,"[0.38529336, 0.41314548, 0.5188473, 0.5188473, 0.5188473]",0.38529336,0.41314548,0.5188473,0.5188473,0.5188473,0.47099614,0.004390215,0.0662587,0.38529336,0.5188473,0.6109392046928406,0.595371663570404,0.5939249396324158,0.5210190415382385,0.4975259304046631,0.5637561559677124,0.0025872099109179,0.0508646233734008
8052268,1939.0,10.0,0.0,,OR0000095,HEWLETT PACKARD DEVELOPMENT COMPANY,1,"HEWLETT-PACKARD DEVELOPMENT COMPANY, L.P.",8a01a009-b3f4-4c16-8971-b6035d66b027,8a01a009-b3f4-4c16-8971-b6035d66b027,0.0,,5606.0,40434L105,1950.0,1.0,0.0,0.0,1.0,C,2011.0,"An ink set includes a light gray ink, a medium gray ink, and a black ink. Each of the inks in the ink set includes a carboxylic polymer. The light gray ink has a carboxylic polymer load equal to or greater than about 4.27 wt %. The medium gray ink has a carboxylic polymer load ranging from about 2.47 wt % to about 3.47 wt %. The black ink has a carboxylic polymer load ranging from about 0.5 wt % to about 2 wt %.","[3, 388, 1821, 265, 1196]","[0.5473235845565796, 0.4299677908420563, 0.4240608513355255, 0.4128516912460327, 0.40729907155036926]","[52, 52, 52, 52, 52]",52,"[0.48157784, 0.48157784, 0.48157784, 0.48157784, 0.48157784]",0.48157784,0.48157784,0.48157784,0.48157784,0.48157784,0.4815778,0.0,0.0,0.48157784,0.48157784,0.5473235845565796,0.4299677908420563,0.4240608513355255,0.4128516912460327,0.4072990715503692,0.4443005979061126,0.0033967397901821,0.058281556175021
9581741,2001.0,10.0,1.0,10.0,OR0021862,ITN ENERGY SYSTEMS INC,1,"ITN ENERGY SYSTEMS, INC.",d83f16d0-c3dc-4213-bbc1-ee0ecbef35e2,d83f16d0-c3dc-4213-bbc1-ee0ecbef35e2,1.0,20011013990,,,,0.0,0.0,0.0,1.0,G  C  H,2017.0,"Systems and methods for creating an infrared-control coated thin film device with certain visible light transmittance and infrared reflectance properties are disclosed. The device may be made using various techniques including physical vapor deposition, chemical vapor deposition, thermal evaporation, pulsed laser deposition, sputter deposition, and sol-gel processes. In particular, a pulsed energy microwave plasma enhanced chemical vapor deposition process may be used. Production of the device may occur at speeds greater than 50 Angstroms/second and temperatures lower than 200° C.","[236, 81, 1211, 35, 157]","[0.628437876701355, 0.6086046695709229, 0.5893744826316833, 0.5769465565681458, 0.5654694437980652]","[134, 134, 10, 30, 30]",134,"[0.6319647, 0.6319647, 0.60525054, 0.5878098, 0.5878098]",0.6319647,0.6319647,0.60525054,0.5878098,0.5878098,0.6089599,0.00049171323,0.022174608,0.5878098,0.6319647,0.628437876701355,0.6086046695709229,0.5893744826316833,0.5769465565681458,0.5654694437980652,0.5937666058540344,0.0006312998354591,0.0251256807959333
6166178,1990.0,10.0,1.0,10.0,OR0012870,GERON CORPORATION,1,GERON CORPORATION,45343c29-fc2d-49a2-9f53-bafefd60f694,45343c29-fc2d-49a2-9f53-bafefd60f694,0.0,,63405.0,374163103,1996.0,1.0,0.0,0.0,1.0,C  A  Y,2000.0," The invention provides compositions and methods related to telomerase reverse transcriptase, the catalytic protein subunit of human telomerase. The polynucleotides and polypeptides of the invention are useful for diagnosis, prognosis and treatment of human diseases, for changing the proliferative capacity of cells and organisms, and for identification and screening of compounds and treatments useful for treatment of diseases such as cancers. ","[1515, 653, 108, 390, 3079]","[0.9296004176139832, 0.8518309593200684, 0.6379961967468262, 0.6341692209243774, 0.6145209670066833]","[17, 41, 62, 62, 41]",17,"[0.6217094, 0.62468535, 0.6367495, 0.6367495, 0.62468535]",0.6217094,0.62468535,0.6367495,0.6367495,0.62468535,0.6289158,5.261487e-05,0.0072536105,0.6217094,0.6367495,0.9296004176139832,0.8518309593200684,0.6379961967468262,0.6341692209243774,0.6145209670066833,0.7336235523223877,0.02140027594893,0.1462883315542632
7132234,1996.0,10.0,1.0,10.0,OR0004382,RIGEL PHARMACEUTICALS INC,1,"RIGEL PHARMACEUTICALS, INC.",d5edb7f7-05ff-4884-8011-afcc3ffee46e,d5edb7f7-05ff-4884-8011-afcc3ffee46e,1.0,2626346,133468.0,766559603,2000.0,1.0,0.0,0.0,1.0,C  G,2006.0,"The invention provides methods for identifying an anti-poxviral agents. In many embodiments, the methods involve contacting a poxviral p28 polypeptide with a candidate agent, and determining an effect of the agent on a ubiquitin ligase activity of the p28 polypeptide. The effect of the agent may be determined using a variety of different cell based or biochemical assays, such as polyubiquitylation assays and cell viability assays. The invention also provides methods for modulating poxvirus pathogenicity in a cell, and methods of treating an individual infected with a poxvirus. The subject methods find use in a variety of drug discovery, research and military applications.","[1740, 170, 1872, 2036, 629]","[0.701106607913971, 0.6194673180580139, 0.6040993928909302, 0.5867033004760742, 0.5844886302947998]","[51, 15, 26, 62, 15]",51,"[0.58341366, 0.55976665, 0.66424036, 0.50725114, 0.55976665]",0.58341366,0.55976665,0.66424036,0.50725114,0.55976665,0.57488775,0.0032721465,0.05720268,0.50725114,0.66424036,0.701106607913971,0.6194673180580139,0.6040993928909302,0.5867033004760742,0.5844886302947998,0.6191730499267578,0.0022994258123016,0.0479523285388905
9060938,1974.0,10.0,1.0,10.0,OR0004286,BEND RESEARCH INC,1,"BEND RESEARCH, INC.",126837f5-961c-4c6b-9aa3-4cfdd2a49009,126837f5-961c-4c6b-9aa3-4cfdd2a49009,1.0,10672111,,,,0.0,0.0,0.0,1.0,A  C,2015.0,"Solid dry powder compositions comprising active agents and dextran polymer derivatives comprising an ester-linked amine-containing substituent and an alkyl ester substituent are disclosed, as are methods for making such compositions.","[5, 144, 974, 725, 244]","[0.6589097380638123, 0.6527255177497864, 0.6455556154251099, 0.6431733965873718, 0.6360974311828613]","[77, 110, 58, 127, 19]",77,"[0.6608704, 0.64586735, 0.55406284, 0.59040654, 0.4758699]",0.6608704,0.64586735,0.55406284,0.59040654,0.4758699,0.5854154,0.005589001,0.07475962,0.4758699,0.6608704,0.6589097380638123,0.6527255177497864,0.6455556154251099,0.6431733965873718,0.6360974311828613,0.6472923398017884,7.744781218583797e-05,0.0088004438630013
8563480,1919.0,10.0,0.0,,OR0000033,HALLIBURTON ENERGY SERVICES INC,1,"HALLIBURTON ENERGY SERVICES, INC.",7328562f-4fdb-40ea-8ed3-f6713e490c0c,7328562f-4fdb-40ea-8ed3-f6713e490c0c,1.0,000022181,5439.0,406216101,1950.0,1.0,0.0,0.0,1.0,C  Y,2013.0,"The present invention relates to bridging agents for use in subterranean formations, to well drill-in and servicing fluids comprising such bridging agents, and to methods of using such bridging agents and well drill-in and servicing fluids in subterranean drilling operations. An example of a well drill-in and servicing fluid of the present invention comprises a viscosified fluid, a fluid loss control additive, and a bridging agent comprising a degradable material.","[76, 2, 386, 1004, 1042]","[0.7653588056564331, 0.692037045955658, 0.610835075378418, 0.5588180422782898, 0.5539754629135132]","[91, 91, 91, 160, 34]",91,"[0.57707226, 0.57707226, 0.57707226, 0.44606197, 0.44087178]",0.57707226,0.57707226,0.57707226,0.44606197,0.44087178,0.5236301,0.0053584874,0.073201686,0.44087178,0.57707226,0.7653588056564331,0.692037045955658,0.610835075378418,0.5588180422782898,0.5539754629135132,0.6362048864364624,0.0082979984853135,0.09109335039021
10640501,1989.0,10.0,1.0,10.0,OR0001154,VERTEX PHARMACEUTICALS INCORPORATED,1,VERTEX PHARMACEUTICALS INCORPORATED,4f9b06bb-c05f-4fa7-98a0-2750a43dfc92,4f9b06bb-c05f-4fa7-98a0-2750a43dfc92,1.0,043039129,24344.0,92532F100,1991.0,1.0,0.0,0.0,1.0,C  A  B  Y,2020.0,A method of preparing Compound (1) or a pharmaceutically acceptable salt thereof: comprises: (a) reacting Compound (X):  or a pharmaceutically acceptable salt thereof with Compound (Y):  in the presence of a palladium catalyst and a carbonate or phosphate base to form compound (Z):  or a pharmaceutically acceptable salt thereof; and (b) deprotecting the Ts group of Compound (Z) to form Compound (1) or a pharmaceutically acceptable salt thereof. ,"[590, 750, 0, 28, 989]","[0.8347118496894836, 0.7338724732398987, 0.7045552134513855, 0.7035669088363647, 0.7015638947486877]","[115, 112, 129, 123, 129]",115,"[0.7239284, 0.63802516, 0.6615585, 0.62827075, 0.6615585]",0.7239284,0.63802516,0.6615585,0.62827075,0.6615585,0.6626682,0.0013864345,0.037234858,0.62827075,0.7239284,0.8347118496894836,0.7338724732398987,0.7045552134513855,0.7035669088363647,0.7015638947486877,0.735654067993164,0.0032436206607158,0.0569527932652636
10836954,1998.0,9.0,0.0,,OR0060648,SOLVAY USA INC,1,SOLVAY USA INC.,63917510-06a3-4022-9b86-fa56bd4deed1,63917510-06a3-4022-9b86-fa56bd4deed1,1.0,100730419,,,,0.0,0.0,0.0,1.0,C,2020.0,A well treatment fluid composition that includes a tetrakis(hydroxyorgano)phosphonium salt and at least one oxidizing viscosity breaker. Methods for preparing a microbial viscosity breaker composition and treating a subterranean formation are also presented.,"[2, 405, 386, 76, 774]","[0.5574549436569214, 0.5493103861808777, 0.5352149605751038, 0.5229377746582031, 0.4974292516708374]","[91, 34, 91, 91, 96]",91,"[0.476903, 0.49656397, 0.476903, 0.476903, 0.38404024]",0.476903,0.49656397,0.476903,0.476903,0.38404024,0.46226263,0.0019845862,0.044548694,0.38404024,0.49656397,0.5574549436569214,0.5493103861808777,0.5352149605751038,0.5229377746582031,0.4974292516708374,0.5324694633483886,0.0005585245467035,0.0236331239302701
6428752,1991.0,10.0,1.0,10.0,OR0035144,GENETIC MICROSYSTEMS INC,0,"AFFYMETRIX, INC.",2be1586e-9e65-46fe-acf0-92ae00d4977a,,1.0,043386421,62990.0,00826T108,1996.0,1.0,0.0,0.0,1.0,B  G  C  Y,2002.0,"For depositing fluid dots in an array, e.g., for microscopic analysis, a deposit device, e.g. a pin, cooperating with a fluid source defines a precisely sized drop of fluid of small diameter on a drop carrying surface. Transport mechanism positions the device precisely over the receiving surface and drive mechanism moves the deposit device toward and away from the surface. By repeated action, minute drops of fluid can be deposited precisely in a dense array, preferably under computer control. A mobile-fluid storage device resupplies the deposit device along the array, e.g. in the immediate vicinity of the deposit locations. Mobile annular storage rings are lowered and raised to obtain a supply of fluid, or a mobile multiwell plate is used. Cleaning mechanism is shown, in particular a jet arrangement that directs a jet from a pin or tool axis portal to deeper into the confinement chamber, to scrub along a pin or pin-like structure while inducing an air flow from the working zone to prevent back contamination.","[387, 536, 113, 239, 172]","[0.6584739685058594, 0.6265515685081482, 0.5809087157249451, 0.5660408139228821, 0.5598155856132507]","[61, 29, 29, 61, 29]",61,"[0.59190035, 0.548182, 0.548182, 0.59190035, 0.548182]",0.59190035,0.548182,0.548182,0.59190035,0.548182,0.56566936,0.00057338795,0.02394552,0.548182,0.59190035,0.6584739685058594,0.6265515685081482,0.5809087157249451,0.5660408139228821,0.5598155856132507,0.5983581304550171,0.0018108006797376,0.0425535037304528
